Unique_ID,Category,Facility,ItemNumber,Item Unit,ItemName,Substance Name,Waste (AER) Code,DATAAREAID
702013sesc,Standard,,702013,Tonnes,Landfill Disposal Class 1 - Remediation,Contminated Soil (Pesticide/Herbicide),,sesc
702013sesc,Standard,,702013,Tonnes,Landfill Disposal Class 1 - Remediation,Sand - Produced,,sesc
702013sesc,Standard,,702013,Tonnes,Landfill Disposal Class 1 - Remediation,Sludge - Lime,,sesc
702013sesc,Standard,,702013,Tonnes,Landfill Disposal Class 1 - Remediation,Snow Melt,,sesc
702013sesc,Standard,,702013,Tonnes,Landfill Disposal Class 1 - Remediation,Wood (chemically treated/cooling tower),,sesc
702014sesc,Standard,,702014,Tonnes,Landfill Disposal Class 1 - Oilfield Processing,Absorbents,,sesc
702014sesc,Standard,,702014,Tonnes,Landfill Disposal Class 1 - Oilfield Processing,Activated Carbon,,sesc
702014sesc,Standard,,702014,Tonnes,Landfill Disposal Class 1 - Oilfield Processing,Asbestos,,sesc
702014sesc,Standard,,702014,Tonnes,Landfill Disposal Class 1 - Oilfield Processing,Catalyst (Non-Sulphur),,sesc
702014sesc,Standard,,702014,Tonnes,Landfill Disposal Class 1 - Oilfield Processing,Catalyst (Sulphur),,sesc
702014sesc,Standard,,702014,Tonnes,Landfill Disposal Class 1 - Oilfield Processing,Cement (Returns Dry),,sesc
702014sesc,Standard,,702014,Tonnes,Landfill Disposal Class 1 - Oilfield Processing,Construction and Demolition Material,,sesc
702014sesc,Standard,,702014,Tonnes,Landfill Disposal Class 1 - Oilfield Processing,Contaminated Debris/Soil (Chemical/solvent),,sesc
702014sesc,Standard,,702014,Tonnes,Landfill Disposal Class 1 - Oilfield Processing,Contaminated Debris/Soil (crude oil/condensate),,sesc
702014sesc,Standard,,702014,Tonnes,Landfill Disposal Class 1 - Oilfield Processing,Contaminated Debris/Soil (Emulsion),,sesc
702014sesc,Standard,,702014,Tonnes,Landfill Disposal Class 1 - Oilfield Processing,Contaminated Debris/Soil (Mercury/Metals),,sesc
702014sesc,Standard,,702014,Tonnes,Landfill Disposal Class 1 - Oilfield Processing,Contaminated Debris/Soil (Produced/Salt Water),,sesc
702014sesc,Standard,,702014,Tonnes,Landfill Disposal Class 1 - Oilfield Processing,Contaminated Debris/Soil (Refined Fuel/Oils),,sesc
702014sesc,Standard,,702014,Tonnes,Landfill Disposal Class 1 - Oilfield Processing,Contaminated Debris/Soil (Sulphur),,sesc
702014sesc,Standard,,702014,Tonnes,Landfill Disposal Class 1 - Oilfield Processing,Dessicant,,sesc
702014sesc,Standard,,702014,Tonnes,Landfill Disposal Class 1 - Oilfield Processing,Drilling Waste - Advanced Gel Chem,,sesc
702014sesc,Standard,,702014,Tonnes,Landfill Disposal Class 1 - Oilfield Processing,Drilling Waste - Gel Chem,,sesc
702014sesc,Standard,,702014,Tonnes,Landfill Disposal Class 1 - Oilfield Processing,Drilling Waste - Hydrocarbon,,sesc
702014sesc,Standard,,702014,Tonnes,Landfill Disposal Class 1 - Oilfield Processing,Empty Container,,sesc
702014sesc,Standard,,702014,Tonnes,Landfill Disposal Class 1 - Oilfield Processing,Frac Sand - Non Radioactive,,sesc
702014sesc,Standard,,702014,Tonnes,Landfill Disposal Class 1 - Oilfield Processing,Incinerator Ash,,sesc
702014sesc,Standard,,702014,Tonnes,Landfill Disposal Class 1 - Oilfield Processing,Liner,,sesc
702014sesc,Standard,,702014,Tonnes,Landfill Disposal Class 1 - Oilfield Processing,Metal (Scrap),,sesc
702014sesc,Standard,,702014,Tonnes,Landfill Disposal Class 1 - Oilfield Processing,Municipal Solid Waste,,sesc
702014sesc,Standard,,702014,Tonnes,Landfill Disposal Class 1 - Oilfield Processing,Contminated Soil (Pesticide/Herbicide),,sesc
702014sesc,Standard,,702014,Tonnes,Landfill Disposal Class 1 - Oilfield Processing,Sand - Produced,,sesc
702014sesc,Standard,,702014,Tonnes,Landfill Disposal Class 1 - Oilfield Processing,Sludge - Lime,,sesc
702014sesc,Standard,,702014,Tonnes,Landfill Disposal Class 1 - Oilfield Processing,Snow Melt,,sesc
702014sesc,Standard,,702014,Tonnes,Landfill Disposal Class 1 - Oilfield Processing,Wood (chemically treated/cooling tower),,sesc
702015sesc,Standard,,702015,Tonnes,Landfill Disposal Class 1 - Industrial,Absorbents,,sesc
702015sesc,Standard,,702015,Tonnes,Landfill Disposal Class 1 - Industrial,Activated Carbon,,sesc
702015sesc,Standard,,702015,Tonnes,Landfill Disposal Class 1 - Industrial,Asbestos,,sesc
702015sesc,Standard,,702015,Tonnes,Landfill Disposal Class 1 - Industrial,Catalyst (Non-Sulphur),,sesc
702015sesc,Standard,,702015,Tonnes,Landfill Disposal Class 1 - Industrial,Catalyst (Sulphur),,sesc
702015sesc,Standard,,702015,Tonnes,Landfill Disposal Class 1 - Industrial,Cement (Returns Dry),,sesc
702015sesc,Standard,,702015,Tonnes,Landfill Disposal Class 1 - Industrial,Construction and Demolition Material,,sesc
702015sesc,Standard,,702015,Tonnes,Landfill Disposal Class 1 - Industrial,Contaminated Debris/Soil (Chemical/solvent),,sesc
702015sesc,Standard,,702015,Tonnes,Landfill Disposal Class 1 - Industrial,Contaminated Debris/Soil (crude oil/condensate),,sesc
702015sesc,Standard,,702015,Tonnes,Landfill Disposal Class 1 - Industrial,Contaminated Debris/Soil (Emulsion),,sesc
702015sesc,Standard,,702015,Tonnes,Landfill Disposal Class 1 - Industrial,Contaminated Debris/Soil (Mercury/Metals),,sesc
702015sesc,Standard,,702015,Tonnes,Landfill Disposal Class 1 - Industrial,Contaminated Debris/Soil (Produced/Salt Water),,sesc
702015sesc,Standard,,702015,Tonnes,Landfill Disposal Class 1 - Industrial,Contaminated Debris/Soil (Refined Fuel/Oils),,sesc
702015sesc,Standard,,702015,Tonnes,Landfill Disposal Class 1 - Industrial,Contaminated Debris/Soil (Sulphur),,sesc
702015sesc,Standard,,702015,Tonnes,Landfill Disposal Class 1 - Industrial,Dessicant,,sesc
